x,y,heading,false
46,88,0
79,103,45
91,155,0
93,113,-60
116,77,-60
124,45,-60
165,29,45
179,79,90
175,118,90
174,148,0
186,120,-90
188,81,-90
191,32,-45
254,32,45
264,65,90
267,125,90
271,158,0
274,129,-90
286,92,-45
325,89,0
